"Timestamp","1. Sesso:","2. Preferiresti utilizzare un sito Web per la ricerca/pubblicazione di annunci di ripetizioni online o useresti senza problemi una Mobile App?","3. Avresti problemi a interagire con persone più piccole/grandi di te?","4. Preferiresti una gestione dei pagamenti online (tramite i più famosi sistemi di pagamento, come ad esempio PayPal) oppure preferiresti un pagamento fisico?","5. Ti sentiresti più al sicuro se gli utenti fossero forzati a utilizzare i dati reali?","6. Quanto sei a tuo agio nell'interagire con persone (sconosciute) dell'altro sesso nell'ambito delle ripetizioni?","7. Ordina questi luoghi in base a quanto li troveresti comodi/adeguati per una sessione di ripetizioni. [Casa propria]","7. Ordina questi luoghi in base a quanto li troveresti comodi/adeguati per una sessione di ripetizioni. [Casa dell'altro interlocutore]","7. Ordina questi luoghi in base a quanto li troveresti comodi/adeguati per una sessione di ripetizioni. [Aula privata in Università]","7. Ordina questi luoghi in base a quanto li troveresti comodi/adeguati per una sessione di ripetizioni. [Open space in Università]","7. Ordina questi luoghi in base a quanto li troveresti comodi/adeguati per una sessione di ripetizioni. [Luogo pubblico (ad esempio bar, librerie)]","8. Saresti disponibile a sessioni di ripetizione online?","9. Pensi che l'Università degli Studi di Milano-Bicocca offra infrastrutture adeguate alle ripetizioni?","10. Ti piacerebbe avere la possibilità di aggiungere un evento al calendario così da ricevere una notifica prima di ogni sessione di ripetizioni?","11. Hai mai dato ripetizioni a qualche studente che ne avesse bisogno?","1. Qual è la tua posizione nei confronti delle lezioni di gruppo?","2. Preferisci essere pagato in anticipo o in loco?","3. Apprezzeresti una funzionalità di condivisione delle tue offerte di ripetizione sui vari Social Network?","1. Cerchi lezioni principalmente per necessità o per svago?","2. Qual è la tua posizione nei confronti delle lezioni di gruppo?","3. Ordina questi parametri in base alla loro importanza nella tua scelta di un docente. [Presentazione del docente]","3. Ordina questi parametri in base alla loro importanza nella tua scelta di un docente. [Prezzo richiesto]","3. Ordina questi parametri in base alla loro importanza nella tua scelta di un docente. [Distanza richiesta per il luogo dell'incontro]","3. Ordina questi parametri in base alla loro importanza nella tua scelta di un docente. [Feedback di altri utenti]","3. Ordina questi parametri in base alla loro importanza nella tua scelta di un docente. [Altri parametri sociali (ad esempio età, sesso, ecc.)]","1. C'è qualcos'altro che vorresti suggerirci?"
"2019/11/25 10:35:51 AM GMT+1","Femmina","L'App Mobile è sufficiente","Non avrei alcun problema a interagire con persone più piccole/grandi di me","Pagamento fisico","Sì","Non avrei alcun problema nell'interagire con persone dell'altro sesso","1: Peggiore","5: Migliore","4","3","2","Preferisco ripetizioni in presenza","No","Sì","Sì","Preferisco le lezioni individuali","In loco","Indifferente","","","","","","","",""
"2019/11/25 10:35:53 AM GMT+1","Maschio","Un portale Web è essenziale","Non avrei alcun problema a interagire con persone più piccole/grandi di me","Pagamento fisico","Sì","Non avrei alcun problema nell'interagire con persone dell'altro sesso","2","2","3","1: Peggiore","1: Peggiore","Preferisco ripetizioni in presenza","Sì","No","No","","","","Svago","Preferisco le lezioni individuali","4","2","3","5: Migliore","1: Peggiore",""
"2019/11/25 10:41:09 AM GMT+1","Femmina","L'App Mobile è sufficiente","Non avrei alcun problema a interagire con persone più piccole/grandi di me","Pagamento fisico","Sì","Non avrei alcun problema nell'interagire con persone dell'altro sesso","2","1: Peggiore","3","2","2","Preferisco ripetizioni in presenza","Sì","Sì","Sì","Preferisco le lezioni individuali","Indifferente","Indifferente","","","","","","","",""
"2019/11/25 10:41:55 AM GMT+1","Femmina","L'App Mobile è sufficiente","Avrei problemi a interagire con persone più grandi","Indifferente","Sì","Non avrei alcun problema nell'interagire con persone dell'altro sesso","2","4","3","3","3","Preferisco ripetizioni in presenza","Sì","Sì","Sì","Preferisco le lezioni individuali","Indifferente","Sì","","","","","","","",""
"2019/11/25 10:44:20 AM GMT+1","Maschio","L'App Mobile è sufficiente","Non avrei alcun problema a interagire con persone più piccole/grandi di me","Indifferente","Sì","Non avrei alcun problema nell'interagire con persone dell'altro sesso","5: Migliore","3","4","4","3","Preferisco ripetizioni in presenza","Sì","Sì","Sì","Non ho preferenze tra lezioni di gruppo e individuali","Indifferente","Indifferente","","","","","","","",""
"2019/11/25 10:46:05 AM GMT+1","Maschio","Un portale Web è essenziale","Non avrei alcun problema a interagire con persone più piccole/grandi di me","Indifferente","Sì","Non avrei alcun problema nell'interagire con persone dell'altro sesso","3","4","5: Migliore","2","1: Peggiore","Sì","Sì","Sì","Sì","Preferisco le lezioni individuali","Indifferente","Sì","","","","","","","",""
"2019/11/25 10:46:24 AM GMT+1","Maschio","L'App Mobile è sufficiente","Non avrei alcun problema a interagire con persone più piccole/grandi di me","Pagamento fisico","Sì","Non avrei alcun problema nell'interagire con persone dell'altro sesso","5: Migliore","3","4","3","2","Preferisco ripetizioni in presenza","No","Sì","Sì","Non ho preferenze tra lezioni di gruppo e individuali","Indifferente","Sì","","","","","","","","Se l'app non si prenderebbe percentuali di commissione sarebbe il top!"
"2019/11/25 10:48:49 AM GMT+1","Maschio","Un portale Web è essenziale","Non avrei alcun problema a interagire con persone più piccole/grandi di me","Indifferente","Sì","Non avrei alcun problema nell'interagire con persone dell'altro sesso","3","2","3","3","2","Sì","Sì","Sì","No","","","","Necessità","Preferisco le lezioni individuali","2","3","3","2","1: Peggiore",""
"2019/11/25 10:53:16 AM GMT+1","Maschio","L'App Mobile è sufficiente","Non avrei alcun problema a interagire con persone più piccole/grandi di me","Pagamento fisico","Sì","Non avrei alcun problema nell'interagire con persone dell'altro sesso","3","2","1: Peggiore","1: Peggiore","2","Preferisco ripetizioni in presenza","Sì","Sì","Sì","Preferisco le lezioni individuali","In loco","No","","","","","","","",""
"2019/11/25 10:53:39 AM GMT+1","Maschio","L'App Mobile è sufficiente","Non avrei alcun problema a interagire con persone più piccole/grandi di me","Indifferente","Sì","Non avrei alcun problema nell'interagire con persone dell'altro sesso","4","4","2","3","1: Peggiore","Preferisco ripetizioni in presenza","Sì","Sì","Sì","Preferisco le lezioni individuali","In loco","Sì","","","","","","","",""
"2019/11/25 11:05:17 AM GMT+1","Maschio","L'App Mobile è sufficiente","Non avrei alcun problema a interagire con persone più piccole/grandi di me","Pagamento fisico","Sì","Non avrei alcun problema nell'interagire con persone dell'altro sesso","3","3","3","2","2","Preferisco ripetizioni in presenza","No","Sì","Sì","Preferisco le lezioni individuali","In loco","Indifferente","","","","","","","",""
"2019/11/25 11:07:11 AM GMT+1","Maschio","Un portale Web è essenziale","Non avrei alcun problema a interagire con persone più piccole/grandi di me","Pagamento online","Sì","Non avrei alcun problema nell'interagire con persone dell'altro sesso","3","3","5: Migliore","3","1: Peggiore","Preferisco ripetizioni in presenza","No","Sì","No","","","","Necessità","Preferisco le lezioni individuali","4","4","4","4","3",""
"2019/11/25 11:09:00 AM GMT+1","Femmina","L'App Mobile è sufficiente","Non avrei alcun problema a interagire con persone più piccole/grandi di me","Pagamento fisico","Sì","Non avrei alcun problema nell'interagire con persone dell'altro sesso","3","1: Peggiore","2","2","1: Peggiore","Preferisco ripetizioni in presenza","No","Sì","Sì","Preferisco le lezioni individuali","In loco","No","","","","","","","",""
"2019/11/25 11:16:11 AM GMT+1","Maschio","L'App Mobile è sufficiente","Non avrei alcun problema a interagire con persone più piccole/grandi di me","Pagamento online","Sì","Non avrei alcun problema nell'interagire con persone dell'altro sesso","1: Peggiore","4","5: Migliore","1: Peggiore","4","Sì","Sì","Sì","Sì","Non ho preferenze tra lezioni di gruppo e individuali","In loco","Sì","","","","","","","",""
"2019/11/25 11:22:16 AM GMT+1","Maschio","Un portale Web è essenziale","Non avrei alcun problema a interagire con persone più piccole/grandi di me","Indifferente","Sì","Non avrei alcun problema nell'interagire con persone dell'altro sesso","3","2","1: Peggiore","1: Peggiore","1: Peggiore","Preferisco ripetizioni in presenza","Sì","Sì","Sì","Non ho preferenze tra lezioni di gruppo e individuali","In loco","Indifferente","","","","","","","",""
"2019/11/25 11:28:11 AM GMT+1","Maschio","Un portale Web è essenziale","Non avrei alcun problema a interagire con persone più piccole/grandi di me","Indifferente","Sì","Non avrei alcun problema nell'interagire con persone dell'altro sesso","4","4","3","2","2","Sì","No","Sì","Sì","Non ho preferenze tra lezioni di gruppo e individuali","Indifferente","Indifferente","","","","","","","",""
"2019/11/25 11:42:31 AM GMT+1","Femmina","Un portale Web è essenziale","Non avrei alcun problema a interagire con persone più piccole/grandi di me","Indifferente","Sì","Non avrei alcun problema nell'interagire con persone dell'altro sesso","1: Peggiore","4","5: Migliore","3","2","Preferisco ripetizioni in presenza","Sì","Sì","Sì","Le preferisco alle lezioni individuali","Indifferente","Indifferente","","","","","","","",""
"2019/11/25 11:54:26 AM GMT+1","Maschio","L'App Mobile è sufficiente","Non avrei alcun problema a interagire con persone più piccole/grandi di me","Indifferente","Sì","Non avrei alcun problema nell'interagire con persone dell'altro sesso","1: Peggiore","5: Migliore","4","3","2","Sì","No","Sì","Sì","Non ho preferenze tra lezioni di gruppo e individuali","Indifferente","Indifferente","","","","","","","",""
"2019/11/25 12:13:55 PM GMT+1","Maschio","L'App Mobile è sufficiente","Non avrei alcun problema a interagire con persone più piccole/grandi di me","Indifferente","Sì","Non avrei alcun problema nell'interagire con persone dell'altro sesso","2","2","2","2","1: Peggiore","Preferisco ripetizioni in presenza","No","Sì","Sì","Preferisco le lezioni individuali","Indifferente","No","","","","","","","",""
"2019/11/25 12:34:23 PM GMT+1","Maschio","Un portale Web è essenziale","Non avrei alcun problema a interagire con persone più piccole/grandi di me","Pagamento online","Sì","Non avrei alcun problema nell'interagire con persone dell'altro sesso","2","2","3","3","3","Sì","Sì","Sì","Sì","Non ho preferenze tra lezioni di gruppo e individuali","In loco","Sì","","","","","","","",""
"2019/11/25 1:31:44 PM GMT+1","Maschio","Un portale Web è essenziale","Non avrei alcun problema a interagire con persone più piccole/grandi di me","Indifferente","No","Non avrei alcun problema nell'interagire con persone dell'altro sesso","1: Peggiore","3","3","2","2","Sì","Sì","Sì","No","","","","Necessità","Preferisco le lezioni individuali","3","2","2","2","1: Peggiore",""
"2019/11/25 1:40:00 PM GMT+1","Maschio","L'App Mobile è sufficiente","Non avrei alcun problema a interagire con persone più piccole/grandi di me","Pagamento online","No","Non avrei alcun problema nell'interagire con persone dell'altro sesso","2","2","4","4","4","Sì","Sì","Sì","Sì","Le preferisco alle lezioni individuali","In anticipo","No","","","","","","","",""
"2019/11/25 1:48:30 PM GMT+1","Maschio","L'App Mobile è sufficiente","Non avrei alcun problema a interagire con persone più piccole/grandi di me","Pagamento online","Sì","Non avrei alcun problema nell'interagire con persone dell'altro sesso","4","4","5: Migliore","3","4","Preferisco ripetizioni in presenza","No","Sì","No","","","","Necessità","Preferisco le lezioni individuali","5: Migliore","5: Migliore","5: Migliore","5: Migliore","3","Nulla"
"2019/11/25 1:54:15 PM GMT+1","Maschio","Un portale Web è essenziale","Non avrei alcun problema a interagire con persone più piccole/grandi di me","Pagamento online","Sì","Non avrei alcun problema nell'interagire con persone dell'altro sesso","1: Peggiore","3","3","2","2","Sì","Sì","No","Sì","Preferisco le lezioni individuali","Indifferente","Indifferente","","","","","","","",""
"2019/11/25 1:55:06 PM GMT+1","Maschio","L'App Mobile è sufficiente","Non avrei alcun problema a interagire con persone più piccole/grandi di me","Indifferente","Sì","Non avrei alcun problema nell'interagire con persone dell'altro sesso","1: Peggiore","3","3","3","3","Sì","Sì","Sì","Sì","Preferisco le lezioni individuali","Indifferente","Sì","","","","","","","",""
"2019/11/25 4:55:43 PM GMT+1","Femmina","L'App Mobile è sufficiente","Non avrei alcun problema a interagire con persone più piccole/grandi di me","Indifferente","Sì","Non avrei alcun problema nell'interagire con persone dell'altro sesso","5: Migliore","3","5: Migliore","5: Migliore","2","Sì","Sì","Sì","No","","","","Necessità","Preferisco le lezioni individuali","4","5: Migliore","5: Migliore","5: Migliore","2",""
"2019/11/25 6:02:49 PM GMT+1","Femmina","L'App Mobile è sufficiente","Non avrei alcun problema a interagire con persone più piccole/grandi di me","Indifferente","Sì","Preferirei interagire con persone del mio stesso sesso","5: Migliore","1: Peggiore","4","3","2","Sì","Sì","Sì","Sì","Non ho preferenze tra lezioni di gruppo e individuali","In anticipo","Indifferente","","","","","","","",""
"2019/11/25 6:56:35 PM GMT+1","Maschio","L'App Mobile è sufficiente","Non avrei alcun problema a interagire con persone più piccole/grandi di me","Pagamento fisico","Sì","Non avrei alcun problema nell'interagire con persone dell'altro sesso","2","5: Migliore","3","2","1: Peggiore","Preferisco ripetizioni in presenza","No","Sì","Sì","Preferisco le lezioni individuali","Indifferente","Sì","","","","","","","",""
"2019/11/25 8:22:36 PM GMT+1","Maschio","L'App Mobile è sufficiente","Avrei problemi a interagire con persone più piccole","Pagamento online","Sì","Non avrei alcun problema nell'interagire con persone dell'altro sesso","5: Migliore","2","4","2","3","Preferisco ripetizioni in presenza","Sì","Sì","No","","","","Necessità","Preferisco le lezioni individuali","4","4","2","4","3",""
"2019/11/25 8:35:32 PM GMT+1","Femmina","L'App Mobile è sufficiente","Non avrei alcun problema a interagire con persone più piccole/grandi di me","Pagamento fisico","Sì","Non avrei alcun problema nell'interagire con persone dell'altro sesso","5: Migliore","1: Peggiore","2","4","3","Sì","Sì","Sì","No","","","","Necessità","Non ho preferenze tra lezioni di gruppo e individuali","4","1: Peggiore","2","3","5: Migliore",""
"2019/11/25 9:55:01 PM GMT+1","Femmina","L'App Mobile è sufficiente","Non avrei alcun problema a interagire con persone più piccole/grandi di me","Pagamento fisico","Sì","Non avrei alcun problema nell'interagire con persone dell'altro sesso","4","4","1: Peggiore","1: Peggiore","1: Peggiore","Preferisco ripetizioni in presenza","No","Sì","Sì","Non ho preferenze tra lezioni di gruppo e individuali","Indifferente","Indifferente","","","","","","","",""
